slug,link_id,title,updated_at,manual_edits,adopted,publish_views,publish_engagement,publish_notes,notes
ref-013,13,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-30T10:11:41.877910+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-030,30,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-30T09:40:33+00:00,test,已采纳,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-029,29,熊猫布布便携恒温杯 tips for outdoor family days,2026-06-26T03:18:46.168132+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-025,25,熊猫布布便携恒温杯 tips for traveling parents,2026-06-26T02:45:11.572995+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-012,12,Portable bottle warmer tips for traveling parents,2026-06-26T02:10:34.165585+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-023,23,熊猫布布便携恒温杯 tips for traveling parents,2026-06-26T01:35:31.245011+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-014,14,熊猫布布便携恒温杯 tips for traveling parents,2026-06-24T10:29:49.834898+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-027,27,熊猫布布便携恒温杯 tips for dining out with baby,2026-06-24T09:33:39.948707+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-017,17,熊猫布布便携恒温杯 tips for dining out with baby,2026-06-24T09:30:21.662240+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-011,11,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-24T01:32:27.674291+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-009,9,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-24T01:18:29.539470+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-008,8,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-23T10:10:29.983296+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-006,6,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-23T09:57:53.607999+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-004,4,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-23T09:53:43.264001+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-005,5,熊猫布布便携恒温杯 tips for dining out with baby,2026-06-23T08:50:31.215342+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-003,3,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-23T07:55:21.297297+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-018,18,熊猫布布吸奶器 tips for busy moms,2026-06-23T06:14:24.175840+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-002,2,熊猫布布便携恒温杯 tips for traveling parents,2026-06-23T06:10:37.795469+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-036,36,Portable bottle warmer tips for traveling parents,2026-06-23T03:45:30.210743+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-010,10,Portable bottle warmer tips for traveling parents,2026-06-23T02:20:45.332583+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-007,7,Replying to @tot_redacted can’t imagine a better compliment ❤️❤️ #flangesize #pu,2026-06-22T10:28:32.776256+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-001,1,How to make a hands free pumping bra from a regular nursing bra?! PUMPING HACK! ,2026-06-22T10:08:15.954376+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
night-pumping-v1,,night pumping,2026-06-22T10:08:15.910436+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
flange-size-v1,,flange size,2026-06-22T10:08:15.870612+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
